;factor;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Statue;1,26;220;277,2;349,272;440,08272;554,5042272;698,6753263;880,3309111;1109,216948;1397,613354;1760,992827;2218,850962;2795,752212;3522,647787;4438,536211;5592,555626;7046,620089;8878,741312;11187,21405;14095,88971;17760,82103;22378,6345;28197,07947;35528,32013;44765,68336;56404,76104;71069,99891;89548,19862;112830,7303;142166,7201;179130,0674
Market;1,26;100;126;158,76;200,0376;252,047376;317,5796938;400,1504141;504,1895218;635,2787975;800,4512848;1008,568619;1270,79646;1601,203539;2017,51646;2542,070739;3203,009131;4035,791505;5085,097297;6407,222594;8073,100468;10172,10659;12816,8543;16149,23642;20348,03789;25638,52774;32304,54496;40703,72665;51286,69557;64621,23642;81422,75789
Timber camp;1,245;40;49,8;62,001;77,191245;96,10310003;119,6483595;148,9622076;185,4579485;230,8951459;287,4644566;357,8932485;445,5770943;554,7434824;690,6556356;859,8662664;1070,533502;1332,81421;1659,353691;2065,895345;2572,039705;3202,189432;3986,725843;4963,473675;6179,524725;7693,508283;9578,417812;11925,13018;14846,78707;18484,2499;23012,89113
Clay pit;1,24;40;49,6;61,504;76,26496;94,5685504;117,2650025;145,4086031;180,3066678;223,5802681;277,2395325;343,7770203;426,2835051;528,5915464;655,4535175;812,7623617;1007,825328;1249,703407;1549,632225;1921,543959;2382,714509;2954,565991;3663,661829;4542,940668;5633,246429;6985,225572;8661,679709;10740,48284;13318,19872;16514,56641;20478,06235
Iron mine;1,24;70;86,8;107,632;133,46368;165,4949632;205,2137544;254,4650554;315,5366687;391,2654692;485,1691818;601,6097855;745,996134;925,0352061;1147,043656;1422,334133;1763,694325;2186,980963;2711,856394;3362,701928;4169,750391;5170,490485;6411,408201;7950,14617;9858,181251;12224,14475;15157,93949;18795,84497;23306,84776;28900,49122;35836,60912
Farm;1,29;30;38,7;49,923;64,40067;83,0768643;107,1691549;138,2482099;178,3401907;230,0588461;296,7759114;382,8409257;493,8647942;637,0855845;821,840404;1060,174121;1367,624616;1764,235755;2275,864124;2935,86472;3787,265489;4885,572481;6302,3885;8130,081165;10487,8047;13529,26807;17452,75581;22514,05499;29043,13094;37465,63891;48330,67419
warehouse;1,245;40;49,8;62,001;77,191245;96,10310003;119,6483595;148,9622076;185,4579485;230,8951459;287,4644566;357,8932485;445,5770943;554,7434824;690,6556356;859,8662664;1070,533502;1332,81421;1659,353691;2065,895345;2572,039705;3202,189432;3986,725843;4963,473675;6179,524725;7693,508283;9578,417812;11925,13018;14846,78707;18484,2499;23012,89113
Hiding place;1,25;50;62,5;78,125;97,65625;122,0703125;152,5878906;190,7348633;238,4185791;298,0232239;372,5290298;465,6612873;582,0766091;727,5957614;909,4947018;1136,868377;1421,085472;1776,356839;2220,446049;2775,557562;3469,446952;4336,80869;5421,010862;6776,263578;8470,329473;10587,91184;13234,8898;16543,61225;20679,51531;25849,39414;32311,74268
Nobleman;1;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000
Coin;1;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000
Wall;1,26;20;25,2;31,752;40,00752;50,4094752;63,51593875;80,03008283;100,8379044;127,0557595;160,090257;201,7137238;254,159292;320,2407079;403,5032919;508,4141478;640,6018262;807,1583011;1017,019459;1281,444519;1614,620094;2034,421318;2563,370861;3229,847284;4069,607578;5127,705549;6460,908992;8140,745329;10257,33911;12924,24728;16284,55158
