;factor;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Statue;1,26;220;277,2;349,272;440,08272;554,5042272;698,6753263;880,3309111;1109,216948;1397,613354;1760,992827;2218,850962;2795,752212;3522,647787;4438,536211;5592,555626;7046,620089;8878,741312;11187,21405;14095,88971;17760,82103;22378,6345;28197,07947;35528,32013;44765,68336;56404,76104;71069,99891;89548,19862;112830,7303;142166,7201;179130,0674
Market;1,26;100;126;158,76;200,0376;252,047376;317,5796938;400,1504141;504,1895218;635,2787975;800,4512848;1008,568619;1270,79646;1601,203539;2017,51646;2542,070739;3203,009131;4035,791505;5085,097297;6407,222594;8073,100468;10172,10659;12816,8543;16149,23642;20348,03789;25638,52774;32304,54496;40703,72665;51286,69557;64621,23642;81422,75789
Timber camp;1,25;50;62,5;78,125;97,65625;122,0703125;152,5878906;190,7348633;238,4185791;298,0232239;372,5290298;465,6612873;582,0766091;727,5957614;909,4947018;1136,868377;1421,085472;1776,356839;2220,446049;2775,557562;3469,446952;4336,80869;5421,010862;6776,263578;8470,329473;10587,91184;13234,8898;16543,61225;20679,51531;25849,39414;32311,74268
Clay pit;1,27;65;82,55;104,8385;133,144895;169,0940167;214,7494011;272,7317395;346,3693091;439,8890226;558,6590587;709,4970045;901,0611957;1144,347719;1453,321603;1845,718435;2344,062413;2976,959264;3780,738266;4801,537597;6097,952749;7744,399991;9835,387988;12490,94274;15863,49729;20146,64155;25586,23477;32494,51816;41268,03806;52410,40834;66561,21859
Iron mine;1,252;75;93,9;117,5628;147,1886256;184,2801593;230,7187594;288,8598867;361,6525782;452,7890279;566,8918629;709,7486124;888,6052627;1112,533789;1392,892304;1743,901164;2183,364258;2733,572051;3422,432207;4284,885124;5364,676175;6716,574571;8409,151363;10528,25751;13181,3784;16503,08575;20661,86336;25868,65293;32387,55347;40549,21695;50767,61962
Farm;1,3;45;58,5;76,05;98,865;128,5245;167,08185;217,206405;282,3683265;367,0788245;477,2024718;620,3632133;806,4721773;1048,413831;1362,93798;1771,819374;2303,365186;2994,374741;3892,687164;5060,493313;6578,641307;8552,233699;11117,90381;14453,27495;18789,25744;24426,03467;31753,84507;41279,99859;53663,99816;69763,19761;90692,1569
warehouse;1,265;60;75,9;96,0135;121,4570775;153,643203;194,3586518;245,8636946;311,0175736;393,4372307;497,6980968;629,5880924;796,4289369;1007,482605;1274,465496;1612,198852;2039,431548;2579,880908;3263,549348;4128,389926;5222,413256;6606,352769;8357,036253;10571,65086;13373,13834;16917,02;21400,0303;27071,03832;34244,86348;43319,7523;54799,48666
Hiding place;1,25;50;62,5;78,125;97,65625;122,0703125;152,5878906;190,7348633;238,4185791;298,0232239;372,5290298;465,6612873;582,0766091;727,5957614;909,4947018;1136,868377;1421,085472;1776,356839;2220,446049;2775,557562;3469,446952;4336,80869;5421,010862;6776,263578;8470,329473;10587,91184;13234,8898;16543,61225;20679,51531;25849,39414;32311,74268
Nobleman;1;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000
Coin;1;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000;28000
Wall;1,26;50;63;79,38;100,0188;126,023688;158,7898469;200,0752071;252,0947609;317,6393987;400,2256424;504,2843094;635,3982299;800,6017697;1008,75823;1271,03537;1601,504566;2017,895753;2542,548648;3203,611297;4036,550234;5086,053295;6408,427152;8074,618211;10174,01895;12819,26387;16152,27248;20351,86332;25643,34779;32310,61821;40711,37895
